,canton_residence,urban,canton_work,Income,hh_income,employment_status,education_status,has_license,car_available,has_ga,age,gender
10,1.0,1.0,1.0,1792.653132684963,1,1.0,0.0,0,0.0,0.0,24.12346131083359,1.0
17,19.0,1.0,1.0,5183.886914490061,3,5.0,0.0,1,1.0,0.0,73.20931110421247,1.0
18,1.0,1.0,1.0,15593.983771863785,8,2.0,0.0,0,0.0,1.0,40.836213450416835,1.0
22,1.0,1.0,1.0,11504.89323427629,6,1.0,0.0,0,0.0,0.0,60.480771113463106,1.0
38,22.0,1.0,22.0,6433.12498042727,4,5.0,0.0,1,0.0,0.0,71.49029234335444,1.0
41,25.0,1.0,25.0,1261.1902017688483,1,1.0,0.0,1,0.0,0.0,28.25857164319109,0.0
47,19.0,1.0,19.0,3249.338027987199,2,5.0,0.0,0,0.0,0.0,67.77037363257728,0.0
53,2.0,1.0,10.0,5173.232027113897,3,2.0,0.0,1,0.0,0.0,33.59321805846912,1.0
57,10.0,1.0,10.0,58.62987382384231,1,5.0,0.0,1,0.0,0.0,81.22529870627568,1.0
66,17.0,1.0,,,,4.0,1.0,0,0.0,0.0,14.482362864755487,0.0
70,2.0,1.0,2.0,2022.636693786703,2,2.0,0.0,1,0.0,0.0,60.23512440700756,0.0
75,2.0,0.0,2.0,1316.0536647021167,1,2.0,0.0,0,0.0,0.0,25.18264458096519,1.0
77,2.0,1.0,1.0,6933.879133078631,4,2.0,0.0,1,0.0,0.0,44.247822432371095,0.0
90,22.0,1.0,22.0,6053.321932665094,4,1.0,0.0,0,0.0,0.0,51.634943325122094,1.0
103,1.0,1.0,1.0,5234.980508705647,3,1.0,0.0,0,0.0,0.0,46.31886879646595,0.0
107,19.0,1.0,19.0,6491.607683879578,4,1.0,0.0,1,1.0,0.0,55.61282237118394,1.0
109,3.0,1.0,,,,4.0,1.0,0,0.0,0.0,13.609766598661963,0.0
110,22.0,0.0,22.0,4745.455379229381,3,1.0,0.0,1,1.0,0.0,23.347401527373677,1.0
111,25.0,1.0,25.0,18553.16929070141,9,2.0,0.0,0,0.0,0.0,32.03210441787678,0.0
121,21.0,1.0,21.0,6651.557349562678,4,1.0,0.0,0,0.0,0.0,24.06079484054726,0.0
122,3.0,1.0,3.0,4074.3526197818815,3,2.0,0.0,1,0.0,1.0,35.2071057806761,0.0
127,22.0,1.0,22.0,4635.932284498899,3,1.0,0.0,0,0.0,1.0,21.892913953405696,0.0
145,24.0,0.0,24.0,5906.400889891251,3,5.0,0.0,1,0.0,0.0,77.2806882123839,1.0
159,25.0,1.0,25.0,5850.941600067479,3,1.0,0.0,0,0.0,0.0,20.204584916427166,0.0
160,17.0,1.0,17.0,22520.725539179493,9,1.0,0.0,1,0.0,1.0,21.078104082856044,1.0
178,2.0,1.0,11.0,5989.238881097688,3,1.0,0.0,1,0.0,0.0,49.32480250178196,0.0
179,1.0,1.0,25.0,7963.350788383613,4,2.0,0.0,1,0.0,0.0,26.489321979654733,0.0
180,12.0,1.0,13.0,4138.81487164391,3,1.0,0.0,0,0.0,0.0,18.622763416078897,1.0
184,1.0,1.0,19.0,4925.892496459768,3,1.0,0.0,1,0.0,0.0,48.706481715589234,1.0
188,20.0,1.0,20.0,16344.342459395059,9,5.0,0.0,1,0.0,0.0,71.86006259500209,1.0
194,22.0,1.0,22.0,4865.952785030868,3,1.0,0.0,1,1.0,0.0,61.392214451816926,0.0
197,11.0,1.0,11.0,1640.6460544762695,1,1.0,0.0,0,0.0,0.0,20.61510498039752,0.0
198,1.0,1.0,1.0,4465.733856691246,3,1.0,0.0,0,0.0,0.0,34.11754938080753,0.0
214,23.0,1.0,23.0,2324.8123710355353,2,1.0,0.0,1,0.0,1.0,27.173771849822288,0.0
228,1.0,1.0,1.0,12351.156137480428,7,1.0,0.0,1,1.0,0.0,37.59880520161437,1.0
232,17.0,0.0,17.0,2908.5730538212015,2,2.0,0.0,1,0.0,0.0,40.681085560768,0.0
233,10.0,0.0,,,,4.0,1.0,0,0.0,0.0,8.814795974710705,0.0
236,22.0,1.0,22.0,4767.164846952526,3,5.0,0.0,1,1.0,0.0,81.28510824612727,0.0
247,18.0,0.0,18.0,3399.734616673707,2,1.0,0.0,1,1.0,0.0,32.34944158725034,0.0
262,17.0,1.0,17.0,2811.6128701089287,2,2.0,0.0,0,0.0,0.0,24.819060166903228,0.0
264,22.0,0.0,10.0,7639.714328966801,4,5.0,0.0,1,0.0,0.0,70.53371874312711,0.0
265,26.0,0.0,26.0,15395.993460577587,8,2.0,1.0,0,0.0,0.0,17.307690170031947,1.0
268,22.0,1.0,22.0,776.891101600687,1,1.0,0.0,1,1.0,1.0,35.12956335677245,0.0
282,17.0,1.0,17.0,14406.097053177733,8,1.0,0.0,1,1.0,0.0,62.42884301543495,0.0
305,17.0,1.0,17.0,715.1223683131827,1,5.0,0.0,1,1.0,0.0,64.46383057964408,0.0
312,23.0,1.0,23.0,2886.9835226265027,2,2.0,0.0,0,0.0,0.0,24.81311498180912,1.0
316,1.0,1.0,1.0,5680.427020139494,3,2.0,0.0,0,0.0,0.0,35.28031796293499,1.0
323,22.0,1.0,11.0,4407.353105231645,3,2.0,0.0,0,0.0,0.0,48.76931903670243,1.0
330,19.0,1.0,,,,2.0,0.0,1,1.0,0.0,19.30011422859411,0.0
338,22.0,0.0,22.0,4698.567623817737,3,5.0,0.0,1,1.0,0.0,86.8960596587749,1.0
348,1.0,1.0,1.0,1465.0280281159953,1,5.0,0.0,1,1.0,1.0,69.01591036173704,0.0
355,2.0,1.0,2.0,917.2154774754225,1,5.0,0.0,1,1.0,0.0,83.51573570916798,0.0
358,1.0,1.0,1.0,10524.645451574355,6,5.0,0.0,1,1.0,0.0,65.5561232104667,1.0
361,1.0,1.0,1.0,8144.319382663457,5,1.0,0.0,0,0.0,1.0,25.579298748058363,1.0
383,23.0,1.0,23.0,352.66393553837173,1,5.0,0.0,1,1.0,0.0,73.21154323753308,0.0
387,22.0,1.0,25.0,3721.607952777272,2,1.0,0.0,1,1.0,0.0,35.6093954368157,1.0
390,25.0,1.0,1.0,5081.614194639471,3,2.0,0.0,1,0.0,0.0,54.37870635641502,1.0
404,25.0,1.0,25.0,1007.9871538169367,1,1.0,0.0,1,1.0,0.0,49.87567537506402,1.0
411,1.0,1.0,1.0,1614.0984997145035,1,2.0,0.0,1,0.0,0.0,59.5653892235016,1.0
418,17.0,1.0,,,,4.0,1.0,0,0.0,0.0,13.471530875805229,0.0
430,1.0,1.0,1.0,9910.522578425629,5,1.0,0.0,0,0.0,0.0,23.527198141375038,0.0
